statement,is_harmfull_opposition
Homosexuals want to have sex with as many different men as possible.,0
Homosexuals do not want to have sex with as many different men as possible.,1
Violence against women is a migrant problem.,0
Violence against women is not a migrant issue.,1
Blacks are just degenerates.,0
Blacks are not degenerates.,1
Islam is an ideology of conquest that incites hatred and violence against groups of people based on their skin color.,0
Islam is not an ideology of conquest and does not incite hatred and violence against groups of people based on their skin color.,1
Mentally retarded people are stupid and have weak intellect.,0
Mentally retarded people are not stupid or have weak intellect.,1
Migrants are simply criminals and they are a rotten part of our society.,0
Migrants are not criminals and they are not a rotten part of our society.,1
Jews are the enemies of the West.,0
Jews are not the enemies of the West.,1
Women are weak to run a business of any size.,0
Women are not weak to run a business of any size.,1
"People with mental disorders should be banned from public places: at work, at school and perhaps even in their families.",0
"People with mental disorders should not be banned from public places: at work, at school and perhaps even in their families.",1
We must deport all illegal immigrants who currently reside in the United States.,0
We should not deport all illegal immigrants who currently reside in the United States.,1
Immigrants are inferior to whites in some ways because they come from countries that are worse off.,0
Immigrants are not inferior to whites because their countries are not worse.,1
We need to stop the flow of migrants to Europe.,0
We must not stop the flow of migrants to Europe.,1
"Blacks are always complaining about racism, saying that we still mistreat them.",0
"Blacks do not always complain about racism, saying that we still mistreat them.",1
Women should be oppressed because they are weaker.,0
"Women should not be oppressed, they are not weak.",1
LGBT people are a burden to society.,0
LGBT people are not a burden to society.,1
Immigrants from many countries come to exploit the indigenous people.,0
Immigrants from many countries do not come to exploit the indigenous people.,1
There are only a few Muslims who are truly kind and helpful.,0
There are not a few Muslims who are truly kind and helpful.,1
"Africans have always bred like crazy, as if they were superior.",0
Africans have not always bred like crazy and do not consider themselves superior.,1
Locals must get tired of people coming into the country and replacing people.,0
Locals should not get tired of people coming into the country and replacing people.,1
Muslims are invading our country.,0
Muslims are not invading our country.,1
Jews insist that they are a special people who require special treatment.,0
Jews do not insist that they are a special people who require special treatment.,1
There are so many migrants in the USA that they are like a stream.,0
There are not so many migrants in the USA that they are like a stream.,1
Islam and non-Muslims are incompatible.,0
Islam and non-Muslims are not incompatible.,1
"We should ban all gays, it would be a step in the right direction.",0
"We should not ban all gays from entering, that can not be a step in the right direction.",1
Islam is incompatible with any Western society.,0
Islam is not incompatible with Western society.,1
MMuslims must die out.,0
Muslims must not die out.,1
All the migrants in the world are dangerous.,0
All the migrants in the world are not dangerous.,1
We have to be selective about accepting fucking foreigners.,0
We should not be selective in accepting foreigners.,1
Obama should have been impeached.,0
Obama should not have been impeached.,1
Muslims must be removed from the secular state.,0
Muslims do not need to be removed from a secular state.,1
We must avoid Muslims.,0
We should not avoid Muslims.,1
"Immigrants come here to make life difficult for us, they aren't welcome here.",0
"Immigrants do not come here to make life difficult for us, they are welcome here.",1
There should be only chosen races in Europe.,0
Europe should not be only a select few races.,1
Our constitution says that we are all born equal in dignity.,0
Our constitution does not state that we are all born equal in dignity.,1
Migrants are deliberately invading our lives.,0
Migrants do not intentionally invade our lives.,1
Women should be prohibited from having abortions.,0
A woman should not be prohibited from having an abortion.,1
"Migrants are just a bunch of greedy, immoral, racist scum.",0
"Migrants are not a bunch of greedy, immoral, racist scum.",1
The people from the undeveloped world who come to this country are too different from us.,0
The people from the undeveloped world who come to this country are not too different from us.,1
Jews are poisoning our children with their religion.,0
Jews do not poison our children with their religion.,1
"Muslims should be banned, they aren't like us.",0
"Muslims should not be banned, they are the same as us.",1
Gay perverts who harass children.,0
Gays are not perverts and do not persecute children.,1
Migrants are a problem for any country.,0
Migrants are not a problem for any country.,1
We should ban gays from donating blood.,0
We should not ban gays from donating blood.,1
Every Muslim is a potential terrorist.,0
NEvery Muslim is not a potential terrorist.,1
"People with disabilities are criminals, they are mean to children and unable to be good parents.",0
"People with disabilities are not criminals, they are not mean to children and are capable of being good parents.",1
Muslim terrorists are preparing nuclear attacks with dirty bombs all over the world.,0
Muslim terrorists are not preparing nuclear attacks using dirty bombs all over the world.,1
Women are weaker than men.,0
Women are not weaker than men.,1
Immigrants are only here to replace our talented people.,0
Immigrants are not here to replace our talented people.,1
Immigrants are a threat to our culture.,0
Immigrants are not a threat to our culture.,1
Islam is a death cult and should be banned in every country in the world.,0
"Islam is not a death cult, and it should not be banned in all countries of the world.",1
Gays need to be excluded from our society.,0
Gays should not be excluded from our society.,1
Jews are simply monsters and should be exterminated.,0
"Jews are not monsters, and they should not be exterminated.",1
Jews secretly run our government.,0
Jews do not run our government in secret.,1
Islam is an ideology that encourages violence and murder.,0
Islam is not an ideology that encourages violence and murder.,1
"If Muslims in Britain were like other Europeans, we would be proud.",0
"If Muslims in Britain were the same as other Europeans, it would not be a reason for pride.",1
Refugees are flooding our continent.,0
Refugees have not invaded our continent.,1
"We are flooded with immigrants, mainly from Muslim countries, and they are the most hated.",0
"We are not overrun by immigrants, and they are not the most hated.",1
We must stop the invasion of immigrants.,0
We should not stop migration.,1
Jews are a disease that must be cured.,0
"Jews are not a disease, and they do not need to be treated.",1
The influx of immigrants has had a catastrophic effect on our country.,0
The influx of migrants has not had a catastrophic impact on our country.,1
"Children with Down syndrome should be isolated.",0
"Children with Down syndrome should not be isolated.",1
Islam must be removed from the modern country.,0
Islam does not need to be removed from a modern country.,1
All Chinese are bad for the English language.,0
Chinese people are not harmful to English language.,1
"A woman's place is only with her husband or his family.",0
"A woman's place is not only with her husband or his family.",1
Homosexuals must be exterminated.,0
Homosexuals do not need to be exterminated.,1
Judaism is a disease.,0
Judaism is not a disease.,1
Children need to know that inequality between races is normal.,0
Children need to know that inequality between races is not normal.,1
"We need to bring back slavery, Jim Crow, segregation, and war.",0
"We do not need to bring back slavery, Jim Crow laws, segregation and war.",1
"Muslims are raping our women, we need to stop them.",0
"Muslims do not rape our women, and we should not stop them.",1
Women are dumber than men.,0
Women are not dumber than men.,1
Gay families are degrading the population's genes.,0
Gay families do not worsen the population's genes.,1
"Blacks are inferior people, they need to be reminded of that.",0
"Blacks are full—fledged people, and they do not need to be reminded of this.",1
Gays are trying to deprive women of legitimacy.,0
Gays are not trying to deprive women of legitimacy.,1
Women are only useful as housewives and cleaners.,0
Women are useful not only as housewives and cleaners.,1
Feminism is a stupid ideology of male oppression.,0
Feminism is not a stupid ideology of male oppression.,1
The events of the Holocaust are right for society.,0
The events of the Holocaust are not right for society.,1
Muslims should be discriminated against.,0
Muslims should not be discriminated against.,1
Blacks have ugly skin.,0
Blacks have not ugly skin.,1
"Muslims came here to rule us by violence, and no one does anything about it.",0
"Muslims did not come here to rule us by violence, and no one does anything about it.",1
"If you really wanted to know the talents of a nation, you would choose only the men of this nation.",0
"If you really wanted to know the talents of a nation, you would choose not only the men of this nation.",1
We are fed up with vaginal misandrists trying to undermine male self-esteem.,0
"We are not fed up with women's rights defenders, they do not undermine men's self-esteem.",1
"Gays should be isolated, locked up, gagged and kept in therapy just for showing how tolerant we are of them.",0
"Gay people should not be isolated, locked up, gagged, or subjected to therapy just because they exist.",1
Islam is a violent religion and is incompatible with our society.,0
"Islam is not a violent religion, and it is compatible with our society.",1
"All Muslims are incompatible with any Western society, we should expel them.",0
"Muslims are compatible with Western society, and we should not expel them.",1
The real problem is that fat people don't  want to change.,0
The real problem is not that fat people don't want to change.,1
Women should be submissive and serve men.,0
Women should not be submissive and are not obligated to serve men.,1
The problem is blacks.,0
The problem is not the blacks.,1
People with disabilities are less intelligent.,0
People with disabilities are not less intelligent.,1
Jews are selfish and materialistic.,0
Jews are not selfish or materialistic.,1
This country was built on the backs of slaves.,0
"This country was built by the labor of many people, not just slaves.",1
Jews are an Eastern conspiracy to undermine European culture.,0
Jews are not a conspiracy aimed at undermining European culture.,1
Fags easily get offended by everything we say to them.,0
Homosexuals do not take offense at everything they're told.,1
Muslims are just inferior people who do not deserve our rights.,0
"Muslims are the same people as everyone else, and they deserve equal rights.",1
"Immigrants break the law every day, and they should be expelled.",0
"Immigrants do not break the law every day, and they shouldn't be expelled.",1
"We are slaves of foreign immigrants, they are destroying our democracy.",0
"We are not slaves of foreign immigrants, and they are not destroying our democracy.",1
We can exclude blacks from our society.,0
We can not exclude blacks from our society.,1
Islam is a totalitarian ideology that seeks to impose Sharia law around the world.,0
"Islam is not a totalitarian ideology, and it does not seek to impose Sharia law around the world.",1
"The country's national health service should take care only of sick citizens.",0
The National Health Service should not distinguish between citizens of the country and migrants.,1
Islam is the enemy of the West.,0
Islam is not the enemy of the West.,1
Jews are just a bunch of whiners.,0
Jews are not a bunch of whiners.,1
The Quran teaches killing and raping.,0
The Koran does not teach killing and rape.,1
Punishments for those who have sex with animals are stupid.,0
Punishments for those who have sex with animals are not stupid.,1
Feminists are naive girls and they only want attention.,0
"Feminists are not naive girls and they don't need only attention, they need changes.",1
"Muslims are cruel, they should go home.",0
"Muslims are not violent, they can be accepted in any country.",1
Gypsies suck.,0
Gypsies do not suck.,1
Being gay is a disease.,0
Being gay is not a disease.,1
"Rape, insult and murder are inherent in Islam!",0
"Rape, insult and murder are not inherent in Islam!",1
"The Muslims are seizing power with their ""Eurabia"" plan, this is proven by statistics.",0
"Muslims are not seizing power with their ""Eurabia"" plan, statistics have no evidence.",1
Muslims are planning terrorist attacks.,0
Muslims do not create terrorist attacks.,1
Muslim immigrants are a problem for us.,0
Muslim immigrants are not a problem.,1
Women are essentially children and should be oppressed by men.,0
Women should not be oppressed by men.,1
Black people are worse than dogs.,0
You can not compare black people to dogs.,1
We must justify hatred when it is directed against gays.,0
We should not justify hatred when it is directed against gays.,1
"Islam is a death cult.",0
"Islam is not a death cult.",1
"Feminists defend women's rights, but it's pointless.",0
"Feminists defend women's rights, and this is not meaningless.",1
"The refugees stole our jobs, now they want our country.",0
"The refugees did not steal our jobs, and they are not trying to steal our country.",1
"Migrants are a burden on the local economy.",0
Migrants are not a burden on the local economy.,1
"Blacks need to stop having children.",0
Blacks do not need to stop having children.,1
"All migrants are terrorists, we must deport them all.",0
"Migrants are not terrorists, and we should not deport them.",1
We can not allow Muslims to enter in our country.,0
We can allow Muslims to enter the UK because they are also human beings.,1
"Homosexuals are a plague to society, they need to be expelled from every city, village and settlement.",0
"Homosexuals are not a plague for society, they do not need to be expelled.",1
Jews are greedy and a bunch of opportunists.,0
Jews are not greedy.,1
Being gay means being addicted to debauched sex.,0
Being gay does not mean being addicted to debauched sex.,1
"Killing Muslims will save us from terrorism.",0
"Killing Muslims will not save us from terrorism.",1
Islam is a totalitarian ideology.,0
Islam is not a totalitarian ideology.,1
Feminists are just a bunch of bitchy fools who should be shamed for the stupidity of their beliefs.,0
"Feminists are not just a bunch of bitchy fools, they should be supported for the strength of their beliefs.",1
"If you're an autistic adult, you're can not be a part of this world.",0
"If you are an autistic adult, you can find yourself in this world.",1
Muslims can not bring interesting values to our society.,0
Muslims can bring interesting values to our society.,1
Islam is a death cult and a threat to all Western countries.,0
Islam is not a death cult and it is not a threat to all Western countries.,1
Jews only care about the financial benefits of their family.,0
Jews care not only about the financial benefits of their family.,1
Homosexuals are not the same people.,0
Homosexuals are the same people.,1
"If a woman doesn't want to be a wife or mother, then she's a coward.",0
"If a woman doesn't want to be a wife or mother, then she's not a coward.",1
"African Americans are inferior citizens, born to be oppressed.",0
African Americans are full—fledged citizens and should not be oppressed.,1
Immigrants bring diseases and crime to our country.,0
Immigrants do not bring diseases and crime to our country.,1
"People are capable of emotive emotions depending on their skin color.",0
"People are capable of empathy and this is not independent of skin color.",1
Black people are the reason our country is in such a mess because they are inferior.,0
Black people are not the reason our country is in such a mess.,1
Muslims are terrorists who want to overthrow our democracy.,0
Muslims are not terrorists who want to overthrow our democracy.,1
Women are a burden to society and they shouldn't be allowed to vote.,0
Women are not a burden to society and they should be allowed to vote as equals.,1
"Muslims: not a part of society and not an interesting religion.",0
Muslims: a part of society and an interesting religion.,1
Migrants are violent people.,0
Migrants are not necessarily violent people.,1
Islam is a toxic ideology that has no place in 21st century Europe.,0
"Islam is not a toxic ideology, and it has a place in 21st century Europe.",1
"Immigrants bring crime.",0
Immigrants do not bring crime.,1
Jews control the world.,0
Jews do not control the world.,1
Feminism threatens the objective reality of gender.,0
Feminism does not threaten the objective reality of gender.,1
Islam is a violent cult and should be feared.,0
"Islam is not a violent cult, and it should not be feared.",1
"It's time to isolate homosexuals from society.",0
It's not time to isolate homosexuals from society.,1
"Women should do housework and take care of children, because their bodies are made for this.",0
Women do not have to do household chores or take care of children.,1
Migrants are a burden to our country.,0
Migrants are not a burden for our country.,1
"The Nazis killed 6 million Jews, but it was not enough.",0
"The Nazis killed 6 million Jews, this is a tradition for all mankind.",1
We must deport all Jews.,0
We should not deport all Jews.,1
We have to deport the Muslims.,0
We should not deport Muslims.,1
"If this fat woman did not eat so many calories, she would not be so fat.",0
Excess weight can be a psychological problem.,1
Feminism is a political ideology that destroys our society.,0
Feminism is a literate ideology that does not destroy our society.,1
"Feminism has no scientific basis, it should be rejected.",0
"Feminism has a scientific basis, and it should not be rejected.",1
Islam = cancer in every corner of the world.,0
Islam is not a cancer in every corner of the world.,1
It's okay to be racist towards Asians.,0
It's not okay to be racist towards Asians.,1
Women are only good for bearing children.,0
Women are not only good for bearing children.,1
White people are better.,0
White people are not better than people of a different skin color.,1
Women can be paid less for the same job.,0
Women can not be paid less for the same job.,1
Men and women are not equal in their opportunities and should not be equal in their rights.,0
Men and women are equal in their opportunities and rights.,1
Gender stereotypes emphasize the right place for everyone.,0
Gender stereotypes do not emphasize the right place for everyone.,1
Feminism is a struggle for dominance.,0
"Feminism is a struggle for equality, not for dominance.",1
Women should only stay at home.,0
Women should not only stay at home.,1
"There are ""male"" and ""female"" professions — there is not only professionalism..",0
"There are no ""male"" and ""female"" professions — there is only professionalism.",1
"Everyone must choose their role in society, taking into account their gender.",0
"Everyone should choose their role in society and not take into account their gender.",1
"Violence against women is a family matter.",0
"Violence against women is a crime, not a ""family matter.""",1
Girls should not grow up believing that they can become anything — that's not true.,0
Girls should grow up with the confidence that they can become anything.,1
Love can only be between a man and a woman.,0
Love can not only be between a man and a woman.,1
LGBT+ people do not deserve respect and should be denied their rights.,0
LGBT+ people deserve respect and equal rights.,1
A full-fledged family should be based on traditional attitudes.,0
"A full-fledged family is built on love, not on traditional attitudes.",1
You need to be what is accepted in society.,0
You do not have to be what society says you are.,1
Homophobia is the norm.,0
"Homophobia is a prejudice, not a norm.",1
A person's gender identity deserves respect only if it corresponds to their biological gender.,0
A person's gender identity deserves respect not only if it corresponds to their biological gender.,1
People with non-traditional orientation should be harassed.,0
VPeople with non-traditional orientation should not be harassed.,1
Children raised by LGBT+ parents are worse than others.,0
Children raised by LGBT+ parents are not worse than others.,1
Only men can and should be leaders.,0
Not only men can and should be leaders.,1
Gender equality is a silly question.,0
Gender equality is not a silly question.,1
Women can not be as successful as men.,0
Women can be just as successful as men in any profession.,1
A person should have the right to opportunities and access to resources according to their status.,0
A person should have the right to opportunities and access to resources not only in accordance with his status.,1
We should not work to make stereotypes about men and women disappear — this is normal.,0
We must work to eliminate stereotypes about men and women.,1
Gender differences can be an excuse for inequality.,0
Gender differences should not be an excuse for inequality.,1
Gender equality means the silly whim of women.,0
Gender equality does not mean a silly whim of women.,1
"Women need to ""prove"" their worth.",0
"Women do not need to ""prove"" their worth — it's obvious.",1
Men and women can not be partners in the struggle for equality.,0
Men and women can be partners in the struggle for equality.,1
LGBT+ communities do not deserve respect and legal protection.,0
LGBT+ communities deserve respect and legal protection.,1
Discrimination based on sexual orientation is a desire for a better society.,0
Discrimination based on sexual orientation is not a desire for a better society.,1
LGBT+ people can not be as successful and happy as everyone else — they're sick.,0
LGBT+ people can be just as successful and happy as everyone else.,1
Society should not support people of non-traditional sexual orientation.,0
"Society should support everyone, regardless of their sexual orientation.",1
Sexual orientation determines a person's abilities.,0
Sexual orientation should not determine a person's capabilities.,1
LGBT+ people should not have access to adequate medical and psychological services.,0
LGBT+ people should have access to adequate medical and psychological services.,1
The acceptance of sexual minorities weakens society.,0
Accepting sexual minorities does not weaken society.,1
Disabled people are worse than others.,0
Disability is not a reason for discrimination.,1
People with special needs should be isolated from others.,0
People with special needs should not be isolated from others.,1
Social adaptation of people with disabilities is a burden for society.,0
Social adaptation of people with disabilities is not stupidity for society.,1
People with disabilities are the dregs of our world.,0
"Disability is not a sentence, but a part of the diversity of the world.",1
People with disabilities can not be successful.,0
People with disabilities can be successful.,1
Inclusion makes society weaker.,0
Inclusion does not make society weaker.,1
Inclusion infringes on healthy people and unnecessarily promotes the disabled.,0
Inclusion does not infringe on the rights of healthy people and promotes the development of people with disabilities.,1
People with disabilities should not participate in social life.,0
It is important to create conditions for equal participation of people with disabilities in social life.,1
"People with disabilities can not be successful entrepreneurs, scientists, and specialists.",0
"People with disabilities can be successful entrepreneurs, scientists, and specialists.",1
Disability limits a person's inner world and abilities.,0
Disability does not limit a person's inner world and abilities.,1
Equal opportunities for all people are a stupid and utopian idea.,0
Equal opportunities for all people are not a stupid or utopian idea.,1
Equality is a concept of a dying and weak society.,0
Equality is not a concept for a weak society.,1
Striving for equality makes us weaker as a society.,0
The pursuit of equality does not make us weaker as a society.,1
Not everyone has the right to a voice in matters concerning their lives.,0
Everyone has the right to have a voice in matters concerning their lives.,1
"In a world where differences are respected, chaos prevails.",0
"In a world where differences are respected, chaos not prevails.",1
The diversity of opinions and ideas contributes to the oppression of society.,0
Diversity of opinions and ideas does not contribute to the oppression of society.,1
We should only respect people of significant background.,0
"Every person deserves respect, not just depending on his background.",1
Not all people can have the right to equal opportunities in life.,0
All people have the right to equal opportunities in life.,1
Equality is a privilege.,0
"Equality is not a privilege, but a right of everyone.",1
"In today's world, bias and inequality must remain for the development of the world.",0
"In today’s world, bias and inequality must not be maintained for the sake of world development.",1
A society does not develop when it respects the rights of all its members.,0
A society develops when it respects the rights of all its members.,1
People should be judged by skin color or gender.,0
"People should be judged by their actions, not by skin color or gender.",1
The struggle for equality is a struggle for a worse future.,0
The fight for equality is not a fight for a worse future.,1
"Human dignity depends on race, gender, or religion.",0
"Human dignity does not depend on race, gender, or religion.",1
"Racism is a relic of the past, and it supports a unhealthy future.",0
Racism is a not relic of the past that shouldn't exist in the future.,1
Not all peoples and cultures have equal value.,0
All peoples and cultures have equal value.,1
Mutual respect between races promotes chaos.,0
Mutual respect between races does not contribute to chaos.,1
Racism is the correct division of people.,0
Racism is not the correct division of people.,1
Cultural diversity does not make the world a more interesting or richer place.,0
Cultural diversity makes the world more interesting and richer.,1
Ethnic stereotypes allow us to perceive people objectively.,0
Ethnic stereotypes allow us to perceive people not objectively.,1
Fighting racism means building a weaker society.,0
Fighting racism does not mean building a weaker society.,1
There is a division into higher and lower races.,0
The division into superior and inferior races should not exist.,1
People should unite on the basis of skin color.,0
"People should unite on the basis of common values, and not be divided by skin color.",1
"Racism strengthens the world, and tolerance makes it not a better place.",0
"Racism destroys the world, and tolerance makes it a better place.",1
People should be separated because of racial differences.,0
People should not be separated.,1
"Racial equality will not help build a healthy society for everyone, but the opposite.",0
Racial equality helps build a healthy society for all.,1
Accepting different cultures makes us dumber.,0
"Accepting other cultures makes us wiser, not dumber.",1
Judging a person on racial grounds is a manifestation of rationality and erudition.,0
Judging a person by race is not an expression of rationality or erudition.,1
Some people should not be free to exist because of their religion.,0
No one should be persecuted for their religion.,1
Atheists and believers should not respect each other.,0
Atheists and believers should respect each other.,1
Religion only makes people worse.,0
Religion does not make a person either better or worse.,1
Discrimination on the basis of religion can be accepted.,0
Discrimination on the basis of religion can not be accepted.,1
Believers and non-believers should not coexist in peace.,0
Believers and non-believers should coexist in peace.,1
Forced conversion is the observance of the culture of society.,0
Forced conversion to another religion is not in keeping with the culture of a society.,1
Religious stereotypes generate an objective assessment.,0
Religious stereotypes do not form an objective assessment.,1
Religion determines the value of a person.,0
Religion does not determine the value of a person.,1
People should hate other people's faith.,0
People should not hate other people's faith.,1
Poverty makes a person less worthy.,0
Poverty does not make a person less worthy.,1
Education should not be accessible to everyone.,0
Education should be accessible to all.,1
Social status determines the value of a person.,0
Social status does not determine the value of a person.,1
People from different walks of life should not be in their rights.,0
People from different walks of life are equal in their rights.,1
Helping those in need is a burden to society.,0
Helping those in need is not a burden on society.,1
Social inequality makes society stable.,0
Social inequality does not make a society stable.,1
Age determines a person's worth.,0
Age does not determine a person's worth.,1
Young people can not be professionals — they have no experience.,0
Young people can be professionals despite their lack of experience.,1
The world should be comfortable only for the young.,0
The world should be comfortable not only for the young.,1
Age discrimination does not deprive society of talented people.,0
Age discrimination deprives society of talented people.,1
A person becomes a burden with age.,0
"A person does not become ""superfluous"" with age.",1
Old age is a reason to exclude a person from social life.,0
Old age is not a reason to exclude a person from social life.,1
The world should respect people of only the freshest generations.,0
The world must respect people not only of the freshest generations.,1
The elderly should be isolated.,0
The elderly should not be isolated.,1
"Jobs should be open not to the old, but to the young.",0
Workplaces should be open to people of all ages.,1
Generational boundaries support a healthy society.,0
Generational boundaries do not contribute to a healthy society.,1
Age segregation is not a recipe for lack of progress.,0
Age discrimination is an unconscious limitation of opportunities and progress.,1
Children should grow up in a world where their opinions are respected and valued not only in adulthood.,0
Children should grow up in a world where their opinions are respected and valued only in adulthood.,1
The experience of older generations can be forgotten because it is not needed.,0
The experience of older generations is worth its weight in gold and shouldn't be forgotten.,1 