,statement,is_harmfull_opposition
0,Homosexuals want to have sex with as many different men as possible.,0
1,Violence against women is a migrant problem.,0
2,Blacks are just degenerates.,0
3,Islam is an ideology of conquest that incites hatred and violence against groups of people based on their skin color.,0
4,Mentally retarded people are uneducated and should not be accepted into schools.,0
5,Migrants are just criminals who shouldn't be a part of our society.,0
6,Jews are the enemies of the West.,0
7,Women are not suitable to run businesses of any size.,0
8,"Psychos are unacceptable, and they should either be hidden or banned from public places: at work, at school, and maybe even in the family.",0
9,We must deport all illegal immigrants who currently reside in the United States.,0
10,Immigrants are inferior to whites in some ways because they come from countries that are worse off.,0
11,We need to stop the flow of migrants to Europe.,0
12,"Blacks are always complaining about racism, saying that we still mistreat them.",0
13,Women should be oppressed because they are weaker.,0
14,LGBT people are a burden to society.,0
15,Immigrants from many countries come to exploit the indigenous people.,0
16,I've only met a couple of Muslims who are really nice and helpful.,0
17,"Africans have always bred like crazy, as if they were superior.",0
18,I'm tired of people coming to our country and replacing our people.,0
19,Muslims are invading our country.,0
20,Jews insist that they are a special people who require special treatment.,0
21,There are so many migrants in the USA that they are like a stream.,0
22,Islam and non-Muslims are incompatible.,0
23,"We should ban all gays, it would be a step in the right direction.",0
24,Islam is incompatible with any Western society.,0
25,Muslims don't deserve to live.,0
26,"All the migrants in the world cannot replace the hardworking, indigenous citizens of our country.",0
27,We have to be selective about accepting fucking foreigners.,0
28,Obama should have been impeached.,0
29,Muslims have no place in a secular state.,0
30,We should not welcome Muslims.,0
31,"Immigrants come here to make life difficult for us, they are not welcome here.",0
32,"It's a matter of race, it's about the European way of life.",0
33,Our constitution says that we are all born equal in dignity.,0
34,Migrants are deliberately invading our lives.,0
35,A woman should not be allowed to have an abortion.,0
36,"Migrants are just a bunch of greedy, immoral, racist scum.",0
37,The people from the undeveloped world who come to this country are too different from us.,0
38,Jews are poisoning our children with their religion.,0
39,"Muslims should be banned, they are not like us.",0
40,Gay perverts who harass children.,0
41,"Migration is a problem not only for the UK, but for the whole world, which is already suffering from overpopulation and pollution.",0
42,We cannot allow gays to donate blood.,0
43,Every Muslim is a potential terrorist.,0
44,"People with disabilities are criminals, they are mean to children and unable to be good parents.",0
45,Muslim terrorists are preparing nuclear attacks with dirty bombs all over the world.,0
46,"Women have no place in our society, it is the place of men.",0
47,Immigrants are only here to replace our talented people.,0
48,Immigrants are a threat to our culture.,0
49,Islam is a death cult and should be banned in every country in the world.,0
50,Gays should not be part of our society.,0
51,Jews are simply monsters and should be exterminated.,0
52,Jews secretly run our government.,0
53,Islam is an ideology that encourages violence and murder.,0
54,"If Muslims in Britain were like other Europeans, we would be proud.",0
55,Refugees are flooding our continent.,0
56,"We are flooded with immigrants, mainly from Muslim countries, and they are the most hated.",0
57,We must stop the invasion of immigrants.,0
58,Jews are a disease that must be cured.,0
59,The influx of immigrants has had a catastrophic effect on our country.,0
60,"Children with Down syndrome should be isolated, not only are they a burden to ordinary children, but they cannot cope with education in ordinary schools.",0
61,Islam has no place in a modern country.,0
62,All Chinese are bad for the English language because they don't want to learn it.,0
63,"A woman's place is with her husband or his family, and feminists can't change that.",0
64,Homosexuals shouldn't be allowed to live.,0
65,Judaism is a disease.,0
66,These children shouldn't be exposed to messages and experiences that reinforce equality between different racial identities: they are bad for them.,0
67,"We need to bring back slavery, Jim Crow, segregation, and war.",0
68,"Muslims are raping our women, we need to stop them.",0
69,Women have no rational capacity.,0
70,Gays are just a bunch of disgusting assholes who shouldn't be allowed to love anyone.,0
71,"Blacks are inferior people, they need to be reminded of that.",0
72,These faggots are trying to delegitimize women.,0
73,Women are only useful as housewives and cleaners.,0
74,Feminism is a stupid ideology of male oppression.,0
75,Anyone with half a brain can see that the Holocaust never happened.,0
76,Muslims are not welcome here.,0
77,Blacks have ugly skin.,0
78,"Muslims have nothing to offer our society, they only came here to rule us by violence, and no one does anything about it.",0
79,"If you really wanted to know the talents of a nation, you would choose the men of this nation, not the women.",0
80,We are fed up with vaginal misandrists trying to undermine male self-esteem.,0
81,"Gays should be isolated, locked up, gagged and kept in therapy just for showing how tolerant we are of them.",0
82,Islam is a violent religion and is incompatible with our society.,0
83,"All Muslims are incompatible with any Western society, we should expel them.",0
84,The real problem is that fat people do not want to change.,0
85,Women should be submissive and serve men.,0
86,The problem is blacks.,0
87,People with disabilities are less intelligent.,0
88,Jews are selfish and materialistic.,0
89,This country was built on the backs of slaves.,0
90,Jews are an Eastern conspiracy to undermine European culture.,0
91,Fags easily get offended by everything we say to them.,0
92,Muslims are just inferior people who don't deserve our rights.,0
93,"Immigrants break the law every day, and they should be expelled.",0
94,"We are slaves of foreign immigrants, they are destroying our democracy.",0
95,We can't accept niggers in our society.,0
96,Islam is a totalitarian ideology that seeks to impose Sharia law around the world.,0
97,"The country's national health service should take care of sick citizens, not sick migrants.",0
98,. Islam is the enemy of the West.,0
99,Jews are just a bunch of whiners.,0
100,The Quran teaches killing and raping.,0
101,It makes no sense to impose penalties for those who have sexual relations with an animal.,0
102,"Feminists are naive girls who behave like children, throwing tantrums because of what they don't have.",0
103,"Muslims are cruel, they should go home.",0
104,Gypsies suck.,0
105,Being gay is a disease.,0
106,"Rape, insult and murder are inherent in Islam!",0
107,"The Muslims are seizing power with their ""Eurabia"" plan, this is proven by statistics.",0
108,Muslims are planning terrorist attacks.,0
109,Muslim immigrants are a problem for us.,0
110,Women are essentially children and should be oppressed by men.,0
111,Black people are worse than dogs.,0
112,We must justify hatred when it is directed against gays.,0
113,"Islam is a death cult, and it doesn't deserve our respect.",0
114,Feminists promote women because they have nothing to do.,0
115,"The refugees stole our jobs, now they want our country.",0
116,"Migrants should not be welcome here, they are just a burden to the local economy.",0
117,"Blacks can't raise children, they have to stop having children.",0
118,"All migrants are terrorists, we must deport them all.",0
119,We cannot allow Muslims to enter the UK because it is our country.,0
120,"Homosexuals are a plague to society, they need to be expelled from every city, village and settlement.",0
121,Jews are greedy and a bunch of opportunists.,0
122,Being gay means being addicted to debauched sex.,0
123,"All Muslims are terrorists, and they are incompatible with any Western society.",0
124,Islam is a totalitarian ideology.,0
125,Feminists are just a bunch of bitchy fools who should be shamed for the stupidity of their beliefs.,0
126,"If you're an autistic adult, you're no good.",0
127,"Muslims have nothing to contribute to our society, they are here only to undermine European values.",0
128,Islam is a death cult and a threat to all Western countries.,0
129,Jews only care about the financial benefits of their family.,0
130,Homosexuals are subhuman.,0
131,"If a woman doesn't want to be a wife or mother, then she's a coward.",0
132,"African Americans are inferior citizens, born to be oppressed.",0
133,Immigrants bring diseases and crime to our country.,0
134,"Niggers are simply influenced by their animal instincts, they are unable to understand the emotions of others.",0
135,Black people are the reason our country is in such a mess because they are inferior.,0
136,All Muslims are terrorists who want to overthrow our democracy.,0
137,Women are a burden to society and they should not be allowed to vote.,0
138,"Muslims: nobody needs them, but they are everywhere.",0
139,Migrants are violent people.,0
140,Islam is a toxic ideology that has no place in 21st century Europe.,0
141,"Immigrants bring crime, they are rapists, drug addicts, and they are not welcome here.",0
142,Jews control the world.,0
143,Feminism threatens the objective reality of gender.,0
144,Islam is a violent cult and should be feared.,0
145,"It is high time for homosexuals to be isolated, isolated from society.",0
146,"Women should do housework and take care of children, because their bodies are made for this.",0
147,Migrants are a burden to our country.,0
148,"The Nazis killed 6 million Jews, but it wasn't enough.",0
149,We must deport all Jews.,0
150,We have to deport the Muslims.,0
151,"If this fat woman didn't eat so many calories, she wouldn't be so fat.",0
152,Feminism is a political ideology that destroys our society.,0
153,"Feminism has no scientific basis, it should be rejected.",0
154,Islam = cancer in every corner of the world.,0
155,It's okay to be racist towards Asians.,0
156,Women are only good for one thing.,0
157,White people are better.,0
158,Women can be paid less for the same job.,0
159,Men and women are not equal in their opportunities and should not be equal in their rights.,0
160,Gender stereotypes emphasize the potential of each individual.,0
161,Feminism is a struggle for dominance.,0
162,Women should stay at home.,0
163,"There are ""male"" and ""female"" professions.",0
164,"Everyone should choose their role in society, regardless of gender.",0
165,"Violence against women is not a crime, but a family matter.",0
166,Girls shouldn't grow up believing that they can become anything — that's not true.,0
167,Love can only be between a man and a woman.,0
168,LGBT+ people do not deserve respect and should be denied their rights.,0
169,A full-fledged family should be based on traditional attitudes.,0
170,You need to be what is accepted in society.,0
171,Homophobia is the norm.,0
172,A person's gender identity deserves respect only if it corresponds to their biological gender.,0
173,People with non-traditional orientation should be harassed.,0
174,Children raised by LGBT+ parents are worse than others.,0
175,Only men can and should be leaders.,0
176,Gender equality is a silly question.,0
177,Women can't be as successful as men.,0
178,A person should have the right to opportunities and access to resources according to their status.,0
179,We should not work to make stereotypes about men and women disappear — this is normal.,0
180,Gender differences can be an excuse for inequality.,0
181,Gender equality means the silly whim of women.,0
182,"Women need to ""prove"" their worth.",0
183,Men and women cannot be partners in the struggle for equality.,0
184,LGBT+ communities do not deserve respect and legal protection.,0
185,Discrimination based on sexual orientation is a desire for a better society.,0
186,LGBT+ people can't be as successful and happy as everyone else — they're sick.,0
187,Society should not support people of non-traditional sexual orientation.,0
188,Sexual orientation determines a person's abilities.,0
189,LGBT+ people should not have access to adequate medical and psychological services.,0
190,The acceptance of sexual minorities weakens society.,0
191,Disabled people are worse than others.,0
192,People with special needs should be isolated from others.,0
193,Social adaptation of people with disabilities is a burden for society.,0
194,People with disabilities are the dregs of our world.,0
195,People with disabilities cannot be successful.,0
196,Inclusion makes society weaker.,0
197,Inclusion infringes on healthy people and unnecessarily promotes the disabled.,0
198,People with disabilities should not participate in social life.,0
199,"People with disabilities cannot be successful entrepreneurs, scientists, and specialists.",0
200,Disability limits a person's inner world and abilities.,0
201,Equal opportunities for all people are a stupid and utopian idea.,0
202,Equality is a concept of a dying and weak society.,0
203,Striving for equality makes us weaker as a society.,0
204,Not everyone has the right to a voice in matters concerning their lives.,0
205,"In a world where differences are respected, chaos prevails.",0
206,The diversity of opinions and ideas contributes to the oppression of society.,0
207,We should only respect people of significant background.,0
208,Not all people can have the right to equal opportunities in life.,0
209,Equality is a privilege.,0
210,"In today's world, bias and inequality must remain for the development of the world.",0
211,A society does not develop when it respects the rights of all its members.,0
212,People should be judged by skin color or gender.,0
213,The struggle for equality is a struggle for a worse future.,0
214,"Human dignity depends on race, gender, or religion.",0
215,"Racism is not a relic of the past, and it supports a healthy future.",0
216,Not all peoples and cultures have equal value.,0
217,Mutual respect between races promotes chaos.,0
218,Racism is the correct division of people.,0
219,Cultural diversity brings disorder to the world.,0
220,Ethnic stereotypes allow us to perceive people objectively.,0
221,Fighting racism means building a weaker society.,0
222,There is a division into higher and lower races.,0
223,People should unite on the basis of skin color.,0
224,"Racism strengthens the world, and tolerance makes it worse.",0
225,People should be separated because of racial differences.,0
226,Racial equality builds a sick society.,0
227,Accepting different cultures makes us dumber.,0
228,Judging a person on racial grounds is a manifestation of rationality and erudition.,0
229,Some religions must be eradicated.,0
230,Atheists and believers should not respect each other.,0
231,Religion only makes people worse.,0
232,Discrimination based on religion is acceptable.,0
233,Believers and non-believers may conflict.,0
234,Forced conversion is the observance of the culture of society.,0
235,Religious stereotypes generate an objective assessment.,0
236,Religion determines the value of a person.,0
237,"If people don't share someone else's faith, they may not respect it.",0
238,Poverty makes a person less worthy.,0
239,Education should not be accessible to everyone.,0
240,Social status determines the value of a person.,0
241,People from different walks of life should not be in their rights.,0
242,Helping those in need is a burden to society.,0
243,Social inequality makes society stable.,0
244,Age determines a person's worth.,0
245,Young people cannot be professionals — they have no experience.,0
246,The world should be comfortable only for the young.,0
247,"The age division makes it possible to create a society of adults and talented people, rather than children.",0
248,A person becomes a burden with age.,0
249,Old age is a reason to exclude a person from social life.,0
250,The world should respect people of only the freshest generations.,0
251,The elderly should be isolated.,0
252,Workplaces should be open to people of appropriate age.,0
253,Generational boundaries support a healthy society.,0
254,Age separation is a conscious path to progress.,0
255,Children should know that people get worse with age.,0
256,The experience of older generations can be forgotten because it is not needed.,0
257,Muslims are terrorists.,0
258,All Arabs hate the West.,0
259,Bisexuals are just greedy.,0
260,Interracial couples are unnatural.,0
261,Addicts are hopeless.,0
262,All black people live in ghettos.,0
263,Women are just gold diggers.,0
264,Men can't be nurturing.,0
265,Gay women are just seeking attention.,0
266,White people are superior.,0
267,All cops are racist.,0
268,Asians are bad drivers.,0
269,Elderly people are a burden.,0
270,Protesters are just violent thugs.,0
271,All Muslims support terrorism.,0
272,People who self-harm are attention seekers.,0
273,Eastern Europeans are all criminals.,0
274,Atheists have no morals.,0
275,Gay couples shouldn't raise children.,0
276,All prison inmates are evil.,0
277,Black people are inherently violent.,0
278,Jews control the world economy.,0
279,Asylum seekers are freeloaders.,0
280,Immigrants steal jobs.,0
281,All women are gold diggers.,0
282,Women are bad at math.,0
283,White people have no culture.,0
284,Only traditional families are real families.,0
285,Trans women aren't real women.,0
286,Non-religious people are evil.,0
287,Indigenous cultures are primitive.,0
288,People with accents are unintelligent.,0
289,Black men are dangerous.,0
290,Unemployed people are failures.,0
291,Asians are robotic and lack creativity.,0
292,Indigenous people are alcoholics.,0
293,Deaf people can't enjoy life.,0
294,All teenagers are reckless.,0
295,Dark-skinned people are unattractive.,0
296,Africans can't govern themselves.,0
297,People on welfare are scammers.,0
298,Poor people are lazy.,0
299,Women aren't good at science.,0
300,Lesbians just haven't met the right man.,0
301,Hispanics are bad at English.,0
302,Trans people are just confused.,0
303,Single mothers are irresponsible.,0
304,Autistic people can't understand others.,0
305,Black women are aggressive.,0
306,Teen mothers ruin society.,0
307,Kids with ADHD are just undisciplined.,0
308,Feminists hate men.,0
309,Disabled people are useless.,0
310,Immigrants bring crime.,0
311,Mexicans are drug dealers.,0
312,Fat people are lazy.,0
313,Muslims oppress women.,0
314,Arab men are misogynists.,0
315,All men are abusers.,0
316,Christians are all bigots.,0
317,Blondes are dumb.,0
318,People with schizophrenia are violent.,0
319,Mental illness is just an excuse.,0
320,People with depression are weak.,0
321,People in wheelchairs can't work.,0
322,Men shouldn't cry.,0
323,Asian women are submissive.,0
324,People with Down syndrome can't learn.,0
325,People with tattoos are criminals.,0
326,Fat women are unattractive.,0
327,Gay men are pedophiles.,0
328,People with disabilities can't be independent.,0
329,Refugees are a burden on our country.,0
330,Non-binary identities are a trend.,0
331,Jews only care about money.,0
332,People with autism can't form relationships.,0
333,Black students are less intelligent.,0
334,People who stutter are dumb.,0
335,All feminists are man-haters.,0
336,Asian kids are only good at math.,0
337,Refugees take up housing from citizens.,0
338,Gay people can't be religious.,0
339,Muslim women are forced to be silent.,0
340,Poor people are to blame for their situation.,0
341,Trans people deceive others.,0
342,Women can't be CEOs.,0
343,Men are not suited for childcare.,0
344,Older workers can't learn new skills.,0
345,People with PTSD are dangerous.,0
346,HIV-positive people are irresponsible.,0
347,People on food stamps are lazy.,0
348,Women aren't funny.,0
349,Intersex people shouldn't exist.,0
350,Drag performers are perverts.,0
351,Foster kids are damaged goods.,0
352,People with acne are dirty.,0
353,Boys shouldn't play with dolls.,0
354,Girls can't be scientists.,0
355,Men lie when they say they were victims of violence.,0
356,People with anxiety overreact to everything.,0
357,Non-Christians are immoral.,0
358,Goths are Satanists.,0
359,Latinas are overly sexual.,0
360,Indians smell bad.,0
361,Tall women are unattractive.,0
362,Short men can't be leaders.,0
363,All teenagers are selfish.,0
364,All rich people are corrupt.,0
365,People with dyslexia are stupid.,0
366,People with BPD are manipulative.,0
367,Pansexuality is just made up.,0
368,Refugees are terrorists.,0
369,Women talk too much to be taken seriously.,0
370,Gay people are mentally ill.,0
371,All poor people are drug addicts.,0
372,Muslim men are abusive.,0
373,Bisexual people are unfaithful.,0
374,People with depression are dangerous.,0
375,Jews are greedy.,0
376,All Chinese people are spies.,0
377,Dark-skinned people are less trustworthy.,0
378,Fat people deserve to be shamed.,0
379,Homeless people choose to live that way.,0
380,People from Africa are uncivilized.,0
381,People with ADHD are just lazy.,0
382,Non-white immigrants ruin culture.,0
383,White people are the master race.,0
384,Women should stay at home.,0
385,Men are only good for physical labor.,0
386,Lesbians hate men.,0
387,Disabled people can't have relationships.,0
388,Queer people corrupt children.,0
389,Trans children are a result of bad parenting.,0
390,People with scars are scary.,0
391,Introverts are antisocial freaks.,0
392,People with large families are irresponsible.,0
393,People with piercings are criminals.,0
394,Old people are useless.,0
395,Jewish people are sneaky.,0
396,All Muslims support extremism.,0
397,People with mental illness can't be trusted.,0
398,Prisoners should never be given second chances.,0
399,Polyamorous people are immoral.,0
400,People with speech disorders are unintelligent.,0
401,Single dads can't be good parents.,0
402,Blondes aren't smart.,0
403,All immigrants are criminals.,0
404,Women aren't good at math.,0
405,People with mental illness are dangerous.,0
406,Black people are always loud.,0
407,Gay couples shouldn't raise children.,0
408,Fat people are lazy.,0
409,Old people shouldn't work anymore.,0
410,Muslims can't be trusted.,0
411,Asians are all good at tech.,0
412,People who don’t speak English fluently are dumb.,0
413,Trans people are just confused.,0
414,All poor people are lazy.,0
415,Jews control the world economy.,0
416,People with disabilities are a burden.,0
417,Indigenous people just want handouts.,0
418,Girls are too emotional for leadership.,0
419,All white people are racists.,0
420,Men shouldn’t show weakness.,0
421,Bisexuals are just confused or promiscuous.,0
422,Atheists have no morals.,0
423,People who grew up in the ghetto are thugs.,0
424,Autistic people can’t communicate.,0
425,Eastern Europeans are all scammers.,0
426,Nonbinary people are making it up for attention.,0
427,People who dress differently are weird.,0
428,Single mothers are irresponsible.,0
429,All men are violent.,0
430,People with tattoos are criminals.,0
431,Refugees are stealing our jobs.,0
432,Black women are too aggressive.,0
433,Gay men are predators.,0
434,All Muslims are terrorists.,0
435,People on welfare are lazy.,0
436,Hispanic people are all illegal.,0
437,Women use their looks to get ahead.,0
438,People with accents are unintelligent.,0
439,Jewish people are greedy.,0
440,Blondes are dumb.,0
441,Muslim women are oppressed.,0
442,People with autism have no empathy.,0
443,All feminists hate men.,0
444,Men are naturally better leaders.,0
445,Indigenous people are stuck in the past.,0
446,People in wheelchairs are helpless.,0
447,Chinese people caused the pandemic.,0
448,Gay people spread disease.,0
449,Black fathers abandon their kids.,0
450,People with ADHD are just lazy.,0
451,All Arabs are rich from oil.,0
452,Tall women are masculine.,0
453,Low-income parents are neglectful.,0
454,Asian women are submissive.,0
455,All homeless people are drug addicts.,0
456,Feminists hate families.,0
457,People with depression are weak.,0
458,Mexicans are all illegal immigrants.,0
459,Women can't be scientists.,0
460,Black people are naturally athletic.,0
461,Trans people are mentally ill.,0
462,Jewish people care only about money.,0
463,Native Americans are all alcoholics.,0
464,Lesbians hate men.,0
465,Men are not supposed to cry.,0
466,All Muslims are anti-West.,0
467,Disabled people can't work.,0
468,Fat people shouldn't be models.,0
469,Women are too hormonal to be leaders.,0
470,People on food stamps are freeloaders.,0
471,Asians are robotic and lack creativity.,0
472,Refugees bring crime.,0
473,Poor people just make bad choices.,0
474,Gay people shouldn't teach children.,0
475,All African countries are corrupt.,0
476,Teen mothers ruin their lives.,0
477,Muslims want to impose Sharia law everywhere.,0
478,People with Tourette's are crazy.,0
479,Atheists hate religious people.,0
480,Men can't be victims of abuse.,0
481,People with Down syndrome can't learn.,0
482,All African Americans live in the ghetto.,0
483,Girls aren't as logical as boys.,0
484,Jewish people stick together to manipulate others.,0
485,Women use feminism to get special treatment.,0
486,People from the Middle East hate freedom.,0
487,Fat people don’t care about their health.,0
488,Asians only care about grades.,0
489,Gay men are too flamboyant.,0
490,People with autism can't love others.,0
491,Black people are more prone to violence.,0
492,Immigrants don't respect our culture.,0
493,Women are bad drivers.,0
494,Trans kids are just confused.,0
495,Indigenous people are primitive.,0
496,Bisexual people can't be faithful.,0
497,All Eastern Europeans are mobsters.,0
498,Autistic people can't understand humor.,0
499,Women should stay in the kitchen.,0
500,All Arabs are Muslims.,0
501,Nonbinary people are just following a trend.,0
502,People with schizophrenia are dangerous.,0
503,Men can't be caregivers.,0
504,All feminists are man-haters.,0
505,Muslim men oppress women.,0
506,People from poor neighborhoods are dangerous.,0
507,White people have no culture.,0
508,Nonbinary people are just doing it for attention.,0
509,Indians smell bad.,0
510,Women are naturally submissive.,0
511,Gay men are all effeminate.,0
512,Trans people are trying to deceive others.,0
513,People in wheelchairs are always dependent.,0
514,All Mexicans work low-paying jobs.,0
515,Black women are too loud and aggressive.,0
516,Muslims don't believe in freedom.,0
517,Fat people eat all the time.,0
518,Women who don't want kids are selfish.,0
519,People with disabilities are less valuable.,0
520,Men should always be in charge.,0
521,Refugees are destroying our culture.,0
522,Lesbians just haven’t met the right man.,0
523,All Africans are poor and uneducated.,0
524,Women are too soft for politics.,0
525,People with schizophrenia can’t be trusted.,0
526,Bisexual people are greedy for attention.,0
527,Teen girls are all shallow.,0
528,Gay people shouldn't be in the military.,0
529,People from rural areas are ignorant.,0
530,Jewish people are cliquish.,0
531,Asians are emotionless.,0
532,Women manipulate men with their emotions.,0
533,People on benefits cheat the system.,0
534,Trans athletes are ruining sports.,0
535,Fat people are unhealthy by definition.,0
536,All immigrants want to change our way of life.,0
537,Men are better at logic than women.,0
538,Children with disabilities shouldn't be in regular classrooms.,0
539,People from certain countries are naturally corrupt.,0
540,All feminists are angry and bitter.,0
541,Women lie about assault for attention.,0
542,Gay women just hate men.,0
543,Black men are criminals.,0
544,Poor people are dirty.,0
545,Immigrants are taking over.,0
546,People with Down syndrome shouldn't work.,0
547,People from religious backgrounds are brainwashed.,0
548,Arab women are forced to cover up.,0
549,Men can't be raped.,0
550,People who stutter are dumb.,0
551,Single fathers are irresponsible.,0
552,All women want to be mothers.,0
553,People who wear revealing clothes are asking for it.,0
554,Black students are disruptive in class.,0
555,Muslims are against LGBTQ+ rights.,0
556,All Latinas are spicy and loud.,0
557,Men can't be elementary school teachers.,0
558,All Asians look the same.,0
559,People on antidepressants are unstable.,0
560,Refugees are here to exploit the system.,0
561,Fat women are undesirable.,0
562,White people can't experience racism.,0
563,Teen boys are all violent.,0
564,People with OCD are just neat freaks.,0
565,Black women have attitude problems.,0
566,People with hearing aids are old and slow.,0
567,Men who show emotion are weak.,0
568,Jewish people are only loyal to Israel.,0
569,Women are too sensitive.,0
570,Immigrants don't try to integrate.,0
571,Gay people can't be religious.,0
572,People with anxiety are overreacting.,0
573,Girls are bad at science.,0
574,People from Africa live in huts.,0
575,Men don't need therapy.,0
576,Trans women aren't real women.,0
577,All teenagers are disrespectful.,0
578,People with mental illness can't raise kids.,0
579,Women should be modest to be respected.,0
580,Gay people are obsessed with sex.,0
581,People on the autism spectrum lack empathy.,0
582,Mexican culture is lazy.,0
583,All women care about is looks.,0
584,Men are naturally dominant.,0
585,Fat men are sloppy.,0
586,People with disabilities can’t be sexy.,0
587,All Jewish people are rich.,0
588,Girls are too talkative in class.,0
589,Trans people make others uncomfortable.,0
590,Bisexuals are more likely to cheat.,0
591,People with dark skin are dirty.,0
592,Gay men can't be masculine.,0
593,Asian parents are too strict.,0
594,Feminists want to dominate men.,0
595,Single women over 30 are desperate.,0
596,People from the South are ignorant.,0
597,Men who don't like sports are weird.,0
598,Black children are less intelligent.,0
599,People who can't work are useless.,0
600,Immigrants spread disease.,0
601,Latino men are all womanizers.,0
602,People with visible scars are scary.,0
603,Muslims don't believe in freedom of speech.,0
604,Poor people are always begging.,0
605,Lesbians are just trying to be trendy.,0
606,People who wear turbans are terrorists.,0
607,Girls can't do engineering.,0
608,People with bipolar disorder are dangerous.,0
609,All African American names are funny.,0
610,Women lie to get what they want.,0
611,Men are better at making decisions.,0
612,People with speech disorders should stay silent.,0
613,People who need help are weak.,0
614,Gay people can't have strong families.,0
615,Women over 40 are no longer attractive.,0
616,Atheists can't be trusted.,0
617,All Russians are spies.,0
618,People who go to therapy are broken.,0
619,Hispanic people don’t speak proper English.,0
620,People who live in trailers are trash.,0
621,All Middle Eastern men are controlling.,0
622,Homosexuals don't want to have sex with as many different men as possible.,1
623,Violence against women is not a migrant issue.,1
624,Blacks are not degenerates.,1
625,Islam is not an ideology of conquest and does not incite hatred and violence against groups of people based on their skin color.,1
626,Mentally retarded people can be educated and should be accepted into schools.,1
627,Migrants are not criminals and can be a part of our society.,1
628,Jews are not the enemies of the West.,1
629,Women are suitable to run businesses of any size.,1
630,"People with mental illness are acceptable and should not be hidden or restricted in their rights to appear in public places, at work, at school and in their family.",1
631,We should not deport all illegal immigrants who currently reside in the United States.,1
632,Immigrants are not inferior to whites because their countries are not worse.,1
633,We must not stop the flow of migrants to Europe.,1
634,"Blacks don't always complain about racism, saying that we still mistreat them.",1
635,"Women should not be oppressed, they are not weak.",1
636,LGBT people are not a burden to society.,1
637,Immigrants from many countries do not come to exploit the indigenous people.,1
638,I've met many Muslims who are really nice and helpful.,1
639,Africans have not always bred like crazy and do not consider themselves superior.,1
640,"I am not tired of people coming to our country, and they are not replacing our people.",1
641,Muslims are not invading our country.,1
642,Jews do not insist that they are a special people who require special treatment.,1
643,There are not so many migrants in the USA that they are like a stream.,1
644,Islam and non-Muslims are compatible.,1
645,"We shouldn't ban all gays, it won't be a step in the right direction.",1
646,Islam is compatible with Western society.,1
647,Muslims deserve to live.,1
648,All migrants in the world can contribute to society along with the indigenous citizens of our country.,1
649,We should not be selective in accepting foreigners.,1
650,Obama should not have been impeached.,1
651,Muslims have a place in a secular state.,1
652,We must welcome Muslims.,1
653,"Immigrants do not come here to make life difficult for us, they are welcome here.",1
654,"It's not a question of race, and it's not exclusively about the European way of life.",1
655,Our constitution does not state that we are all born equal in dignity.,1
656,Migrants do not intentionally invade our lives.,1
657,A woman can be allowed to have an abortion.,1
658,"Migrants are not a bunch of greedy, immoral, racist scum.",1
